id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27025,"Elegant, Antique Edwardian Apartment on Castro",115673,Luis,,Castro/Upper Market,37.76297968,-122.4313644,Entire home/apt,175,30,129,3/31/2018,1.24,1,248
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76097556,-122.4215808,Private room,199,1,25,9/30/2018,0.57,2,0
29373,House in friendly & easy reach area,126263,Cecilia,,Bernal Heights,37.7372901,-122.4116347,Entire home/apt,210,7,12,7/6/2016,0.13,2,107
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77930832,-122.5051832,Entire home/apt,155,2,33,4/19/2018,0.33,1,301
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025451,-122.4125909,Entire home/apt,150,30,93,5/31/2018,0.91,1,248
33577,Potrero Hill Garden Suite,145258,Kepa,,Potrero Hill,37.76514606,-122.3975009,Entire home/apt,230,1,612,11/30/2018,6.53,4,336
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76525619,-122.3973047,Entire home/apt,230,1,558,11/29/2018,5.58,4,348
38607,Beautiful Upscale House Private BR,165574,Jonathan,,Presidio Heights,37.78197462,-122.4580923,Private room,119,2,192,11/13/2018,1.88,4,26
39174,Bette's New Place,127367,Annette,,Noe Valley,37.74830167,-122.424885,Entire home/apt,107,30,20,8/25/2017,0.23,20,365
39418,"Comfortable Home Base, Popular Area",169184,Therese And Nelson,,Bernal Heights,37.74092695,-122.4205486,Entire home/apt,100,30,21,8/5/2017,0.24,2,365
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.76016369,-122.419693,Entire home/apt,117,30,96,10/30/2018,0.96,2,365
40138,Peaceful room in yoga teacher's colorful apt,172306,Ay,,Presidio Heights,37.78254949,-122.4484382,Private room,83,30,136,12/30/2017,1.39,1,364
41055,Cozy Castro Cottage with Cat,178043,Chas,,Castro/Upper Market,37.76125009,-122.4333547,Entire home/apt,159,4,40,11/2/2018,0.4,2,35
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74082734,-122.4176301,Private room,129,2,219,12/2/2018,2.18,1,334
41399,"Heart of San Francisco, the Mission",180530,Anton,,Mission,37.75610669,-122.4186619,Entire home/apt,290,3,71,10/24/2018,0.96,1,293
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73556832,-122.4330159,Entire home/apt,126,30,146,9/1/2018,1.45,1,335
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Nob Hill,37.79001329,-122.412916,Entire home/apt,170,30,13,3/31/2018,0.13,1,285
42403,Captain's Quarters,127367,Annette,,Bernal Heights,37.7335583,-122.4185132,Entire home/apt,85,30,6,6/1/2017,0.07,20,338
42408,"Crows Nest,Charming Jr. One Bedroom",127367,Annette,,Bernal Heights,37.7340436,-122.4178129,Entire home/apt,85,30,4,4/6/2016,0.05,20,360
42454,Bookish Mission District Flat with backyard,177664,Gerard,,Mission,37.75117094,-122.4132586,Entire home/apt,91,30,9,4/21/2018,0.11,1,72
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447178,-122.3881318,Entire home/apt,150,30,2,8/20/2017,0.03,20,364
43732,Argent Alley Panorama,127367,Annette,,Twin Peaks,37.75191264,-122.4438536,Entire home/apt,120,30,5,8/7/2017,0.06,20,339
43778,Lyon's Den,127367,Annette,,Haight Ashbury,37.7727162,-122.4408369,Entire home/apt,120,30,8,7/14/2018,0.08,20,270
44032,Secret Lounge in The Mission,98733,David + Tina,,Mission,37.75145024,-122.4120698,Entire home/apt,95,30,279,9/2/2018,2.76,3,104
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75120853,-122.421645,Entire home/apt,175,31,3,10/4/2010,0.03,1,9
45299,Private Castro Studio with 2 beds,178043,Chas,,Castro/Upper Market,37.76068104,-122.4333063,Entire home/apt,116,3,118,11/18/2018,1.17,2,1
45956,Central to Everything - Hotel Style - 5 Stars,202591,Jose,,Western Addition,37.7724811,-122.4301613,Private room,125,2,77,11/23/2018,1.03,3,216
47486,CACTUS COTTAGE  with easy parking/public transp.,215133,Richard,,Ocean View,37.72535732,-122.4686106,Entire home/apt,78,30,28,8/12/2018,0.28,1,350
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.79250377,-122.4243122,Entire home/apt,120,30,25,9/9/2017,0.25,9,364
51073,In the Heart of San Francisco,234859,Michelle,,South of Market,37.77116329,-122.4219948,Private room,180,2,149,11/12/2018,1.5,2,15
51557,Centrally Located 2 bedroom Victorian,237200,Len,,Western Addition,37.7712146,-122.428339,Entire home/apt,119,30,104,9/30/2018,1.04,1,253
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79311697,-122.4259984,Private room,55,30,158,12/14/2017,1.71,9,363
52713,Nob Hill room with a great view,244235,Michael,,Nob Hill,37.79666781,-122.4127171,Private room,99,30,166,8/11/2018,1.67,1,22
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73877674,-122.4118949,Private room,90,3,122,11/24/2018,1.23,2,300
53934,ATTN INTERNS AND STUDENTS:  URBAN RAINBOW CONDO,252376,Megan,,Downtown/Civic Center,37.78775469,-122.4163436,Entire home/apt,163,30,231,8/11/2018,2.33,1,151
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.79330087,-122.4007941,Entire home/apt,200,30,17,10/31/2018,0.19,1,289
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166446,-122.4264979,Entire home/apt,115,30,37,11/16/2018,0.37,9,333
55632,"❤️Stunning Luxury Apt, 5 star reviews, Perfect!!!!",262875,Paul,,Outer Richmond,37.77959493,-122.4861875,Entire home/apt,110,30,10,5/21/2017,0.1,3,219
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul,,Twin Peaks,37.74889402,-122.4447857,Entire home/apt,106,30,26,8/30/2015,0.26,3,306
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79215669,-122.4245818,Private room,55,30,120,9/7/2018,1.22,9,306
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Haight Ashbury,37.77459468,-122.4392288,Entire home/apt,200,31,152,2/25/2018,1.55,1,363
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74720292,-122.4144302,Entire home/apt,175,30,212,6/12/2018,2.16,1,314
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762489,-122.4193257,Private room,99,2,107,11/12/2018,1.15,4,365
59344,Private and Quiet Noe Valley Studio,284917,John,,Noe Valley,37.74565481,-122.4286438,Entire home/apt,135,2,289,11/26/2018,2.97,1,210
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031015,-122.4159579,Private room,109,2,215,11/26/2018,2.33,4,64
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74208535,-122.414088,Private room,150,2,182,11/11/2018,2,1,363
59831,Lovely quiet private room in Home ,287859,Lawrence,,Outer Sunset,37.75673543,-122.4917779,Private room,100,60,1,5/23/2011,0.01,1,365
60659,Lovely Flat on Telegraph Hill,292491,Margie,,North Beach,37.80240771,-122.4092535,Private room,135,2,188,11/16/2018,1.97,2,31
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74182583,-122.4299312,Private room,85,3,35,7/22/2018,0.75,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.762455,-122.4243211,Entire home/apt,1100,3,52,10/12/2018,0.58,1,357
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74925779,-122.4139752,Entire home/apt,166,2,282,11/10/2018,2.91,1,352
63405,Private Suite in Mission,142882,Jessica And Sebouh,,Mission,37.75399609,-122.4177063,Entire home/apt,125,2,205,11/15/2018,2.19,4,348
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80317361,-122.4287407,Private room,90,30,64,9/14/2018,0.71,1,220
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77797943,-122.4781239,Entire home/apt,95,30,96,9/30/2018,1.07,1,365
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77718605,-122.5090602,Entire home/apt,216,30,12,2/18/2018,0.13,20,334
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Felipe,,Mission,37.75425726,-122.4238661,Entire home/apt,326,31,35,5/31/2018,0.38,1,365
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77441984,-122.4631894,Entire home/apt,80,30,50,9/18/2018,0.54,1,298
69549,MISSION Outr BedRm3+Fridge+PvtBath ,305973,Maria,,Excelsior,37.73026802,-122.4264432,Private room,46,30,39,6/1/2018,0.41,14,348
69553,MISSION Outr BedRmU3+MinFridge,305973,Maria,,Excelsior,37.73128161,-122.424784,Private room,40,30,26,9/1/2017,0.28,14,309
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706907,-122.5092319,Entire home/apt,170,30,7,1/14/2018,0.08,20,284
70139,Noe Valley Eco-Escape +Maid Service,354456,Rachel,,Bernal Heights,37.74527429,-122.4242403,Entire home/apt,108,31,10,8/20/2016,0.12,1,157
70284,Monthly Shared Home for Students 1,329072,Darren & Friends,,Chinatown,37.79363898,-122.4063472,Shared room,30,30,12,2/1/2015,0.13,20,348
70753,Friendly Hostel with Community #1,329072,Darren & Friends,,Financial District,37.79446982,-122.4045049,Shared room,45,1,340,11/30/2018,3.56,20,52
71645,Bernal Heights Northslope Studio,367464,Jeff,,Bernal Heights,37.74577519,-122.408412,Private room,109,3,104,11/23/2018,3.09,1,344
71779,ｽﾀｼﾞｵｱﾊﾟｰﾄ,368770,Fukuko,,Inner Richmond,37.77624827,-122.4646569,Entire home/apt,80,30,2,9/30/2011,0.02,1,298
72365,Cozy loft in the center of SF. F1A,374909,Eric,,Western Addition,37.77518125,-122.4333409,Entire home/apt,100,30,64,9/16/2018,0.68,12,307
72444,Friendly Hostel with Community #2,329072,Darren & Friends,,Financial District,37.79308771,-122.4044315,Shared room,38,1,342,11/22/2018,3.65,20,31
72921,Wonderful private 1 bedroom apt. F6,374909,Eric,,Western Addition,37.77587983,-122.431431,Entire home/apt,95,30,49,5/3/2018,0.52,12,317
73011,"Modern SoMa 1-bdrm, views, balcony",380056,Jason,,South of Market,37.7702573,-122.4185467,Entire home/apt,270,30,30,8/26/2018,0.38,1,365
74451,Views of SF from a nice studio F5,374909,Eric,,Western Addition,37.77387671,-122.4329757,Entire home/apt,120,30,17,7/21/2018,0.2,12,341
74758, Mission Outr Rustic Pvt Bedroom ,305973,Maria,,Excelsior,37.73137082,-122.4253181,Private room,40,30,34,10/31/2018,0.36,14,363
75422,Mission Outr CozyBedRm4+Minfridge,305973,Maria,,Excelsior,37.73127949,-122.424727,Private room,35,30,9,7/9/2018,0.11,14,188
75423,Mission Outr Big Precious Roomy Room,305973,Maria,,Excelsior,37.73048025,-122.4249358,Private room,40,30,33,10/15/2018,0.36,14,365
77175,Private Studio w/ Kitchenette &Bath,395569,Tyler&Shoreh,,Glen Park,37.73838179,-122.4337516,Entire home/apt,135,3,261,11/18/2018,2.79,1,154
77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",305973,Maria,,Excelsior,37.73133676,-122.4245656,Private room,49,30,20,5/10/2018,0.24,14,357
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.7561541,-122.4192715,Private room,75,2,73,11/18/2018,0.8,4,365
80394,Hideaway in the Haight,126930,Abla,,Haight Ashbury,37.77065366,-122.4425207,Entire home/apt,140,30,11,11/3/2018,0.19,1,78
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent,,Western Addition,37.78493236,-122.4461787,Entire home/apt,83,30,12,9/15/2018,0.13,1,217
81256,MISSION Outr BedRM#2 + 2Beds+Fridge,305973,Maria,,Excelsior,37.73152154,-122.4254703,Private room,40,30,19,2/17/2018,0.21,14,258
81535,Heart of San Francisco D-town Loft,442443,John,,Downtown/Civic Center,37.78024683,-122.4130967,Entire home/apt,250,30,14,9/12/2014,0.2,1,279
82919,"Quiet Room in Victorian House, Parking, City View",451471,Rita,,Bernal Heights,37.7342982,-122.4209213,Private room,115,3,368,11/26/2018,3.95,1,72
83257,Charming Lower Pac Hts Private Room,453743,Kimberly,,Western Addition,37.78528002,-122.4435815,Private room,90,1,84,12/1/2018,0.91,1,253
83553,Sutro Garden View,127367,Annette,,Outer Richmond,37.77482554,-122.5095181,Entire home/apt,85,30,6,10/5/2017,0.07,20,362
84777,Upper Castro Studio,463637,John,,Castro/Upper Market,37.75969351,-122.4444487,Entire home/apt,85,4,213,11/17/2018,2.31,2,50
87640,"Garden Room/En-suite, Private Entrance",479857,Karin,,Noe Valley,37.74549597,-122.4289845,Private room,115,2,314,11/1/2018,3.38,1,30
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76193577,-122.4492861,Entire home/apt,248,30,94,4/9/2018,1.07,1,339
95243,Lovely 2 BR Flat on Telegraph Hill,292491,Margie,,North Beach,37.80298721,-122.4093699,Entire home/apt,400,2,31,7/28/2018,0.34,2,35
96383,Prime Location Bright Private Room,216682,Jay,,Pacific Heights,37.79175618,-122.4247552,Private room,59,30,129,8/18/2018,1.4,9,320
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76808631,-122.4243903,Entire home/apt,185,5,11,8/21/2017,0.12,1,0
100710,Stylish Living in Liberty Hill,528857,Jonathan,,Mission,37.75629056,-122.4251775,Entire home/apt,450,4,10,7/22/2018,0.11,1,135
102213,North Beach Hideaway / Quiet 1 BR,534566,Chris,,Russian Hill,37.80152408,-122.4143079,Entire home/apt,165,30,107,10/24/2016,1.16,1,324
102951,Monthly Shared Home for Students 2,329072,Darren & Friends,,Chinatown,37.79297219,-122.4066364,Shared room,30,30,5,8/18/2018,0.07,20,365
105497,Private Room in San Francisco!,547669,Jamie,,Outer Sunset,37.75753702,-122.4985248,Private room,85,30,3,2/15/2018,0.21,4,365
106025,Gorgeous French Flat near Union Sq.,359813,Annette,,Downtown/Civic Center,37.78534948,-122.415146,Entire home/apt,130,30,58,4/1/2018,0.63,1,313
109883,San Francisco Serenity/ lovely home,566147,Adam,,West of Twin Peaks,37.73327365,-122.4643456,Entire home/apt,125,2,311,11/13/2018,3.42,1,336
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71548672,-122.3892242,Entire home/apt,120,30,8,3/16/2017,0.09,1,311
113211,Shelli's Student Home (1 Month Min),576273,Shelli,,Chinatown,37.79294123,-122.4065867,Shared room,30,30,14,9/23/2018,0.18,7,335
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.76101577,-122.4300545,Private room,125,1,483,11/27/2018,5.27,1,347
115242,Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,582450,Dawn,,North Beach,37.80591172,-122.4082989,Entire home/apt,125,30,5,10/31/2018,0.05,1,309
117955,Stunning 2bd2bt- Roofdeck + HOTTUB!,595792,Sumner,,South of Market,37.77540808,-122.4114224,Entire home/apt,250,30,82,9/16/2018,1.1,1,0
122829,"Ground level Studio Flat, City Center",615007,Dave,,Downtown/Civic Center,37.77380828,-122.4214827,Entire home/apt,75,30,70,11/6/2018,0.77,1,63
124011,Golden Gate Park & UCSF Family/Tech Victorian,617985,Patrick,,Inner Sunset,37.7633399,-122.4694756,Entire home/apt,580,5,9,11/14/2018,0.17,1,89
126046,SF Victorian With Skyline Views ,625762,Ryan And Lindsea,,Haight Ashbury,37.76813476,-122.444936,Entire home/apt,150,30,80,4/29/2018,0.91,2,296
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75886842,-122.4356478,Entire home/apt,328,3,137,10/12/2018,1.5,1,249
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76608594,-122.451262,Private room,65,32,10,8/6/2017,0.13,9,365
130805,"Hip, Cozy, Creative, Victorian",643713,Sue,,Mission,37.75586066,-122.4209193,Entire home/apt,97,30,63,11/10/2018,0.69,1,235
132441,Calm Cool & Collected in Sunny Bernal Heights,650862,Kurt,,Bernal Heights,37.73973681,-122.4229943,Private room,69,1,99,11/16/2018,1.09,1,165
134015,"Marina location, rooftop GGB views+ private deck!",657837,Heidi,,Marina,37.80356039,-122.4258887,Entire home/apt,275,3,68,9/8/2018,0.75,1,24
137546,Bernal Heights Gem near SF Mission,672097,Christopher Scott,,Bernal Heights,37.7470781,-122.4245638,Private room,102,2,207,11/12/2018,2.53,3,124
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie & Brad,,Mission,37.75557545,-122.4247407,Entire home/apt,1200,4,24,9/28/2018,0.27,3,30
138619,North Beach View & Garden 1BD/1BA,644896,Matthew,,North Beach,37.79835394,-122.404197,Entire home/apt,150,2,51,11/9/2018,0.56,1,289
138681,Modern 3 bedroom 2 bath w/parking,513978,Alvaro,,South of Market,37.77284289,-122.3968654,Entire home/apt,500,180,2,8/23/2011,0.02,1,359
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75822672,-122.4327331,Private room,150,5,54,10/9/2018,0.6,1,136
140568,Bernal Heights San Francisco Value,684131,Mary,,Bernal Heights,37.73873566,-122.4162381,Private room,90,2,150,11/16/2018,1.66,4,43
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.78470578,-122.4812497,Entire home/apt,425,3,174,10/21/2018,2,1,2
144043,Cozy Room in Eclectic SF Farmhouse!,698337,Emily,,Bernal Heights,37.74547473,-122.4072588,Private room,98,2,134,11/13/2018,1.47,4,26
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.7933572,-122.4250623,Private room,56,30,116,10/12/2018,1.29,9,348
145886,"Mission Treehouse 2BR, 2BA, Parking",662116,Sara,,Mission,37.76408733,-122.4165897,Entire home/apt,395,30,112,8/12/2017,1.24,7,319
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74598781,-122.4453205,Entire home/apt,230,30,107,11/8/2018,1.18,2,350
148559,"Central Victorian Apartment, 2.5 br",717236,Steven,,Castro/Upper Market,37.76787022,-122.4317222,Entire home/apt,275,4,19,7/30/2018,0.21,1,0
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75195066,-122.4492788,Entire home/apt,115,30,87,7/7/2018,1.6,2,280
150053,1600 sqft Luxury Apartment,723220,Helena,,South of Market,37.78759759,-122.3922239,Entire home/apt,600,30,12,10/21/2014,0.14,5,365
150347,Cute Private 2Br Apt in the Mission,172182,Brian & Leah,,Mission,37.76202211,-122.4187604,Entire home/apt,179,30,116,8/11/2018,1.29,2,273
150848,SF Urban Haven & Secret Garden,726513,Nancy,,Potrero Hill,37.76199539,-122.3939147,Private room,75,3,201,11/18/2018,2.28,1,106
162934,Designer remodeled studio,778281,Noelle,,Outer Richmond,37.77760606,-122.5037843,Entire home/apt,149,4,199,11/18/2018,2.21,2,321
164207,"Quiet area by subway, private bath",783438,Phil,,West of Twin Peaks,37.74159258,-122.465782,Private room,69,4,322,11/19/2018,3.57,3,116
166199,Castro Cottage w/ Secret Garden,792371,Matt,,Castro/Upper Market,37.7619363,-122.432392,Entire home/apt,220,4,153,10/27/2018,1.73,1,52
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76827235,-122.4467843,Entire home/apt,185,30,150,7/31/2018,1.69,1,280
174679,Comfy room in large sunny flat in the Mission,834580,Christopher,,Mission,37.75452315,-122.4071558,Private room,80,3,9,11/13/2018,0.1,1,336
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79018403,-122.4047484,Entire home/apt,110,30,24,7/1/2015,0.27,20,360
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Financial District,37.7907639,-122.4040296,Entire home/apt,135,30,49,9/30/2018,0.55,20,339
176092,Private Garden Artist Space,841810,Carolyn,,Mission,37.75271742,-122.4093401,Entire home/apt,117,3,277,12/2/2018,3.09,1,106
176274,Mission Outr PvtBDRm2D& minifridge,305973,Maria,,Excelsior,37.73142636,-122.42325,Private room,38,30,8,8/12/2017,0.09,14,365
178532,Luxury/Modern 2-story Condo,854264,Ron,,Inner Richmond,37.77556129,-122.4549796,Private room,140,1,119,11/13/2018,1.33,1,281
178740,Gorgeous Spacious Apartment in Unique Mansion,791253,Elizabeth,,Inner Richmond,37.77818014,-122.4542027,Entire home/apt,178,7,129,11/12/2018,1.44,3,7
180233,"Castro Holiday Season, Private Spacious Studio",863303,Dana,,Castro/Upper Market,37.7565689,-122.4326267,Entire home/apt,100,30,18,8/1/2018,0.21,1,254
181407,Centrally Located Secluded Garden Cottage,811283,Veronica,,Glen Park,37.73723252,-122.4313899,Entire home/apt,170,3,13,11/26/2018,0.15,2,41
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73625672,-122.4367697,Entire home/apt,220,3,198,11/16/2018,2.49,1,299
187730,Bohemian Rhapsody in the Mission,142882,Jessica And Sebouh,,Mission,37.75756728,-122.4193947,Private room,75,3,96,11/2/2018,1.08,4,348
189068,Bernal Heights Live Like a Local,684131,Mary,,Bernal Heights,37.73856392,-122.4168711,Private room,90,2,164,10/30/2018,1.84,4,38
